String                                            STRING_TYPE
program                                           IDENTIFIER
=                                                 ASSIGNMENT
input                                             INPUT
(                                                 LEFT_PARENTHESIS
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
if                                                IF
(                                                 LEFT_PARENTHESIS
program                                           IDENTIFIER
==                                                EQUAL_TO
"Lexer"                                           STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
{                                                 LEFT_CURLY_BRACKET
output                                            OUTPUT
(                                                 LEFT_PARENTHESIS
"It's a Lexer!"                                   STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
}                                                 RIGHT_CURLY_BRACKET
else                                              ELSE
{                                                 LEFT_CURLY_BRACKET
output                                            OUTPUT
(                                                 LEFT_PARENTHESIS
"It's not a Lexer!"                               STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
}                                                 RIGHT_CURLY_BRACKET
bool                                              BOOL_TYPE
_isLegalAge                                       IDENTIFIER
;                                                 SEMICOLON
_isLegalAge                                       IDENTIFIER
=                                                 ASSIGNMENT
true                                              BOOL_LITERAL
;                                                 SEMICOLON
switch                                            SWITCH
(                                                 LEFT_PARENTHESIS
_isLegalAge                                       IDENTIFIER
)                                                 RIGHT_PARENTHESIS
{                                                 LEFT_CURLY_BRACKET
case                                              CASE
true                                              BOOL_LITERAL
:                                                 COLON
output                                            OUTPUT
(                                                 LEFT_PARENTHESIS
"adult"                                           STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
break                                             BREAK
;                                                 SEMICOLON
case                                              CASE
false                                             BOOL_LITERAL
:                                                 COLON
output                                            OUTPUT
(                                                 LEFT_PARENTHESIS
"minor"                                           STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
break                                             BREAK
;                                                 SEMICOLON
default                                           DEFAULT
:                                                 COLON
output                                            OUTPUT
(                                                 LEFT_PARENTHESIS
"can't recognize"                                 STRING_LITERAL
)                                                 RIGHT_PARENTHESIS
;                                                 SEMICOLON
}                                                 RIGHT_CURLY_BRACKET
